obsIDX	face	row	col	 long0	colat0
##############################################
000000	   0	000	000	6.0485	0.6456
000001	   0	000	001	3.6040	0.4327
000002	   0	001	000	0.7764	0.7692
000003	   0	001	001	2.2813	0.7847
000004	   1	000	000	4.1628	2.5520
000005	   1	000	001	5.0482	2.4087
000006	   1	001	000	2.1536	2.5087
000007	   1	001	001	1.2162	2.3751
000008	   2	000	000	2.6225	1.1835
000009	   2	000	001	3.5041	1.3585
000010	   2	001	000	2.5626	1.9588
000011	   2	001	001	3.4848	2.0265
000012	   3	000	000	6.2122	1.1105
000013	   3	000	001	0.3850	0.9599
000014	   3	001	000	5.9611	1.7176
000015	   3	001	001	0.3811	1.7086
000016	   4	000	000	4.3312	1.2274
000017	   4	000	001	4.9624	1.3758
000018	   4	001	000	4.4709	2.0828
000019	   4	001	001	5.0265	2.0593
000020	   5	000	000	1.0580	1.0953
000021	   5	000	001	2.2023	1.1181
000022	   5	001	000	1.2933	1.8688
000023	   5	001	001	1.9056	1.9198
