obsIDX	face	row	col	 long0	colat0
##############################################
000000	   0	000	000	5.4978	0.6155
000001	   0	000	001	3.9270	0.6155
000002	   0	001	000	0.7854	0.6155
000003	   0	001	001	2.3562	0.6155
000004	   1	000	000	3.9270	2.5261
000005	   1	000	001	5.4978	2.5261
000006	   1	001	000	2.3562	2.5261
000007	   1	001	001	0.7854	2.5261
000008	   2	000	000	2.6779	1.1503
000009	   2	000	001	3.6052	1.1503
000010	   2	001	000	2.6779	1.9913
000011	   2	001	001	3.6052	1.9913
000012	   3	000	000	5.8195	1.1503
000013	   3	000	001	0.4636	1.1503
000014	   3	001	000	5.8195	1.9913
000015	   3	001	001	0.4636	1.9913
000016	   4	000	000	4.2487	1.1503
000017	   4	000	001	5.1760	1.1503
000018	   4	001	000	4.2487	1.9913
000019	   4	001	001	5.1760	1.9913
000020	   5	000	000	1.1071	1.1503
000021	   5	000	001	2.0344	1.1503
000022	   5	001	000	1.1071	1.9913
000023	   5	001	001	2.0344	1.9913
